== Rival pressure probe · seed 2039 · 1825 days · entrepreneur · home ARN ==
DAY  DATE       | RIVAL            | ACTION                                               | PLAYER IMPACT                                  | CURRENT VISIBILITY
FIGHT D1218 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$12k · you $57/2x vs
FIGHT D1225 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$40k · you $57/2x vs
D1227 2033-05-13 | Crown Meridian | FLEET GREW 12→13 | none directly | FILTERED
FIGHT D1232 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$69k · you $57/2x vs
FIGHT D1239 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$99k · you $57/2x vs
FIGHT D1246 LHR-CDG share 100% (0 rivals) load 100% month-to-date $0 · you $57/2x vs
MONTH 2033-06 | player routes 9 fleet 9 cash $16.7M era international | rivals alive 5 routes 16 | contested 0
FIGHT D1253 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$33k · you $57/2x vs
FIGHT D1260 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$67k · you $57/2x vs
FIGHT D1267 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$101k · you $57/2x vs
FIGHT D1274 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$134k · you $57/2x vs
MONTH 2033-07 | player routes 9 fleet 9 cash $24.2M era international | rivals alive 5 routes 16 | contested 0
FIGHT D1281 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$26k · you $57/2x vs
FIGHT D1288 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$60k · you $57/2x vs
FIGHT D1295 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$89k · you $57/2x vs
FIGHT D1302 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$108k · you $57/2x vs
MONTH 2033-08 | player routes 9 fleet 9 cash $33.9M era international | rivals alive 5 routes 16 | contested 0
FIGHT D1309 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$8,936 · you $57/2x vs
FIGHT D1316 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$40k · you $57/2x vs
FIGHT D1323 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$71k · you $57/2x vs
FIGHT D1330 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$102k · you $57/2x vs
FIGHT D1337 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$129k · you $57/2x vs
MONTH 2033-09 | player routes 9 fleet 9 cash $42.9M era international | rivals alive 5 routes 16 | contested 0
FIGHT D1344 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$25k · you $57/2x vs
FIGHT D1351 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$54k · you $57/2x vs
FIGHT D1358 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$82k · you $57/2x vs
FIGHT D1365 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$108k · you $57/2x vs
MONTH 2033-10 | player routes 9 fleet 9 cash $51.6M era international | rivals alive 5 routes 16 | contested 0
FIGHT D1372 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$15k · you $57/2x vs
D1374 2033-10-07 | Crown Meridian | FLEET GREW 13→14 | none directly | FILTERED
FIGHT D1379 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$39k · you $57/2x vs
FIGHT D1386 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$65k · you $57/2x vs
FIGHT D1393 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$92k · you $57/2x vs
MONTH 2033-11 | player routes 10 fleet 10 cash $10.1M era international | rivals alive 5 routes 16 | contested 0
FIGHT D1400 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$3,781 · you $57/2x vs
FIGHT D1407 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$30k · you $57/2x vs
FIGHT D1414 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$56k · you $57/2x vs
FIGHT D1421 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$82k · you $57/2x vs
FIGHT D1428 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$105k · you $57/2x vs
MONTH 2033-12 | player routes 10 fleet 10 cash $19.5M era international | rivals alive 5 routes 16 | contested 0
FIGHT D1435 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$22k · you $57/2x vs
D1437 2033-12-09 | Crown Meridian | FLEET GREW 14→15 | none directly | FILTERED
FIGHT D1442 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$47k · you $57/2x vs
FIGHT D1449 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$73k · you $57/2x vs
FIGHT D1456 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$84k · you $57/2x vs
MONTH 2034-01 | player routes 10 fleet 10 cash $31.2M era international | rivals alive 5 routes 16 | contested 0
FIGHT D1463 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$9,439 · you $57/2x vs
FIGHT D1470 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$36k · you $57/2x vs
FIGHT D1477 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$62k · you $57/2x vs
FIGHT D1484 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$88k · you $57/2x vs
FIGHT D1491 LHR-CDG share 100% (0 rivals) load 100% month-to-date $0 · you $57/2x vs
MONTH 2034-02 | player routes 10 fleet 10 cash $41.0M era international | rivals alive 5 routes 16 | contested 0
FIGHT D1498 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$26k · you $57/2x vs
FIGHT D1505 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$53k · you $57/2x vs
FIGHT D1512 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$79k · you $57/2x vs
FIGHT D1519 LHR-CDG share 100% (0 rivals) load 100% month-to-date $0 · you $57/2x vs
MONTH 2034-03 | player routes 10 fleet 10 cash $50.4M era international | rivals alive 5 routes 16 | contested 0
D1521 2034-03-03 | Crown Meridian | FLEET GREW 15→16 | none directly | FILTERED
FIGHT D1526 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$26k · you $57/2x vs
FIGHT D1533 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$49k · you $57/2x vs
FIGHT D1540 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$73k · you $57/2x vs
D1545 2034-03-27 | PacificBlue | FLEET GREW 11→12 | none directly | FILTERED
FIGHT D1547 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$98k · you $57/2x vs
MONTH 2034-04 | player routes 11 fleet 11 cash $11.4M era international | rivals alive 5 routes 16 | contested 0
FIGHT D1554 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$15k · you $57/2x vs
FIGHT D1561 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$40k · you $57/2x vs
FIGHT D1568 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$66k · you $57/2x vs
FIGHT D1575 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$89k · you $57/2x vs
MONTH 2034-05 | player routes 11 fleet 11 cash $23.6M era international | rivals alive 5 routes 16 | contested 0
FIGHT D1582 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$6,981 · you $57/2x vs
FIGHT D1589 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$31k · you $57/2x vs
FIGHT D1596 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$52k · you $57/2x vs
D1598 2034-05-19 | Crown Meridian | FLEET GREW 16→17 | none directly | FILTERED
FIGHT D1603 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$72k · you $57/2x vs
FIGHT D1610 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$97k · you $57/2x vs
MONTH 2034-06 | player routes 11 fleet 11 cash $37.3M era international | rivals alive 5 routes 16 | contested 0
FIGHT D1617 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$11k · you $57/2x vs
FIGHT D1624 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$37k · you $57/2x vs
FIGHT D1631 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$63k · you $57/2x vs
FIGHT D1638 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$88k · you $57/2x vs
MONTH 2034-07 | player routes 11 fleet 11 cash $50.2M era international | rivals alive 5 routes 16 | contested 0
FIGHT D1645 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$15k · you $57/2x vs
FIGHT D1652 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$40k · you $57/2x vs
FIGHT D1659 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$65k · you $57/2x vs
FIGHT D1666 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$89k · you $57/2x vs
D1668 2034-07-28 | Crown Meridian | FLEET GREW 17→18 | none directly | FILTERED
MONTH 2034-08 | player routes 12 fleet 12 cash $15.3M era international | rivals alive 5 routes 16 | contested 0
FIGHT D1673 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$3,510 · you $57/2x vs
FIGHT D1680 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$27k · you $57/2x vs
FIGHT D1687 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$52k · you $57/2x vs
FIGHT D1694 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$76k · you $57/2x vs
FIGHT D1701 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$99k · you $57/2x vs
MONTH 2034-09 | player routes 12 fleet 12 cash $30.6M era international | rivals alive 5 routes 16 | contested 0
FIGHT D1708 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$16k · you $57/2x vs
FIGHT D1715 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$40k · you $57/2x vs
FIGHT D1722 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$63k · you $57/2x vs
D1727 2034-09-25 | PacificBlue | FLEET GREW 12→13 | none directly | FILTERED
FIGHT D1729 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$86k · you $57/2x vs
MONTH 2034-10 | player routes 12 fleet 12 cash $44.9M era international | rivals alive 5 routes 16 | contested 0
FIGHT D1736 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$9,579 · you $57/2x vs
D1738 2034-10-06 | Crown Meridian | FLEET GREW 18→19 | none directly | FILTERED
FIGHT D1743 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$35k · you $57/2x vs
FIGHT D1750 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$61k · you $57/2x vs
FIGHT D1757 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$88k · you $57/2x vs
D1759 2034-10-27 | Crown Meridian | FLEET GREW 19→20 | none directly | FILTERED
FIGHT D1764 LHR-CDG share 100% (0 rivals) load 100% month-to-date $0 · you $57/2x vs
MONTH 2034-11 | player routes 12 fleet 12 cash $58.1M era international | rivals alive 5 routes 16 | contested 0
FIGHT D1771 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$17k · you $57/2x vs
FIGHT D1778 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$42k · you $57/2x vs
FIGHT D1785 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$73k · you $57/2x vs
FIGHT D1792 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$106k · you $57/2x vs
MONTH 2034-12 | player routes 13 fleet 13 cash $18.6M era international | rivals alive 5 routes 16 | contested 0
FIGHT D1799 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$25k · you $57/2x vs
FIGHT D1806 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$59k · you $57/2x vs
FIGHT D1813 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$91k · you $57/2x vs
FIGHT D1820 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$122k · you $57/2x vs
MONTH 2035-01 | player routes 13 fleet 13 cash $31.2M era international | rivals alive 5 routes 16 | contested 0
saved /Users/runner/work/Airline-Empire/Airline-Empire/AirlineEmpireApp/UITests/Fixtures/store-campaign.json (GameDate(year: 2035, month: 1, day: 1, hour: 12, minute: 0, weekday: AirlineEmpireCore.Weekday.saturday, season: AirlineEmpireCore.Season.winter))

== Summary ==
first contested player market: day never
FLEET GREW    72  touching the player: 0
FREQUENCY UP   279  touching the player: 0
OPENED CDG-MUC     1  touching the player: 1
OPENED CDG-NCE     1  touching the player: 0
OPENED CDG-ZRH     1  touching the player: 0
OPENED CGK-BKK     1  touching the player: 0
OPENED CGK-DPS     1  touching the player: 0
OPENED CGK-KUL     1  touching the player: 0
OPENED CGK-SGN     1  touching the player: 0
OPENED CGK-SIN     1  touching the player: 0
OPENED HND-KIX     1  touching the player: 0
OPENED HND-PEK     1  touching the player: 0
OPENED HND-TPE     1  touching the player: 0
OPENED IST-BER     1  touching the player: 0
OPENED IST-MUC     1  touching the player: 1
OPENED IST-MXP     1  touching the player: 0
OPENED LHR-BER     1  touching the player: 1
OPENED LHR-MUC     1  touching the player: 1
visibility of rival actions through the player's feed:
   FEED: 2
   FILTERED: 86
   NO EVENT: 279
final: player routes 13, fleet 13, era international, cash $31.7M
   player routes: ARN-LHR ARN-CAI ARN-CDG ARN-IST LHR-CDG ARN-DEL ARN-MUC ARN-MAD ARN-BCN ARN-FCO ARN-BER ARN-AMS ARN-MXP
   PacificBlue [lowCost] active routes 3 fleet 13 rep 0.69 cash $70.6M
      IST-BER 20x/day target, 5 aircraft assigned, 7 needed (3 trips/aircraft/day) · last month 65299 pax $2.8M · load 61%
      IST-MXP 20x/day target, 5 aircraft assigned, 7 needed (3 trips/aircraft/day) · last month 59426 pax $1.4M · load 64%
      IST-MUC 20x/day target, 3 aircraft assigned, 7 needed (3 trips/aircraft/day) · last month 62066 pax $3.9M · load 98%
   Aurora Atlantic [premium] active routes 2 fleet 5 rep 0.79 cash $39.0M
      LHR-BER 20x/day target, 3 aircraft assigned, 5 needed (4 trips/aircraft/day) · last month 63843 pax $3.5M · load 70%
      LHR-MUC 20x/day target, 2 aircraft assigned, 5 needed (4 trips/aircraft/day) · last month 60652 pax $4.1M · load 91%
   SwiftJet [regional] active routes 3 fleet 3 rep 0.73 cash $87.2M
      CDG-ZRH 20x/day target, 1 aircraft assigned, 4 needed (5 trips/aircraft/day) · last month 18224 pax $23k · load 100%
      CDG-NCE 20x/day target, 1 aircraft assigned, 5 needed (4 trips/aircraft/day) · last month 14008 pax $274k · load 100%
      CDG-MUC 20x/day target, 1 aircraft assigned, 5 needed (4 trips/aircraft/day) · last month 12512 pax $163k · load 100%
   Crown Meridian [conservative] active routes 3 fleet 20 rep 0.75 cash $158.9M
      HND-TPE 20x/day target, 10 aircraft assigned, 10 needed (2 trips/aircraft/day) · last month 98296 pax $10.0M · load 99%
      HND-KIX 20x/day target, 4 aircraft assigned, 4 needed (6 trips/aircraft/day) · last month 83160 pax $704k · load 100%
      HND-PEK 20x/day target, 6 aircraft assigned, 10 needed (2 trips/aircraft/day) · last month 58696 pax $6.0M · load 100%
   TerraLink [expansionist] active routes 5 fleet 36 rep 0.78 cash $644.3M
      CGK-DPS 11x/day target, 3 aircraft assigned, 3 needed (4 trips/aircraft/day) · last month 35452 pax $1.2M · load 60%
      CGK-BKK 20x/day target, 10 aircraft assigned, 10 needed (2 trips/aircraft/day) · last month 95920 pax $10.3M · load 93%
      CGK-SIN 20x/day target, 5 aircraft assigned, 5 needed (4 trips/aircraft/day) · last month 86152 pax $2.8M · load 99%
      CGK-KUL 20x/day target, 7 aircraft assigned, 7 needed (3 trips/aircraft/day) · last month 97504 pax $5.5M · load 97%
      CGK-SGN 20x/day target, 10 aircraft assigned, 10 needed (2 trips/aircraft/day) · last month 98014 pax $9.0M · load 86%
